"tumor cells" "macrophages" "cDC" "T cells" "NK cells" "mast cells" "B cells" "endothelial cells" "fibroblasts" "mural cells"
"AATK" "ADGRE1" "AMICA1" "BCL11B" "CA2" "BASP1" "BANK1" "ABCG2" "ADAMTS2" "ADAMTS9"
"ABCA8" "C1QA" "CD1C" "CD2" "CD244" "CCL2" "BCL11A" "ADGRF5" "AEBP1" "ANO1"
"AEBP1" "C1QC" "CD1D" "CD28" "CD244" "CCL7" "CCR7" "APBB2" "APOD" "APOLD1"
"ANK3" "C3AR1" "CD1E" "CD3E" "CD247" "CMA1" "CD37" "APLNR" "ASPN" "ARHGEF12"
"ART3" "CCR1" "CIITA" "CD3G" "FASLG" "CPA3" "CD79A" "AQP1" "BICC1" "ARHGEF17"
"ATP1A2" "CD68" "CLEC10A" "CD4" "GIMAP5" "FCER1A" "CD79B" "ARHGAP29" "BMP1" "ASPN"
"CADM1" "CEBPA" "DAPP1" "CD8A" "GNLY" "FNIP1" "CYTIP" "CAV1" "C1R" "BICD2"
"CADM4" "CLEC12A" "DOK2" "CXCR6" "GZMA" "GATA2" "DERL3" "CAVIN3" "C1S" "C11orf96"
"CALD1" "CX3CR1" "FCER1A" "GIMAP1" "GZMB" "GCH1" "EBF1" "CD200" "CCDC80" "CPE"
"CAV1" "CYBB" "FCGR2B" "GIMAP4" "HOPX" "HDC" "FAM46C" "CD34" "CD248" "CRISPLD2"
"CD59" "CYP4F3" "GAPT" "GIMAP6" "KLRB1" "IL1RL1" "FCMR" "CD93" "CDC42EP5" "CRTC3"
"CDH19" "DAB2" "HCK" "IL2RB" "KLRC2" "KIT" "FCRL5" "CDH5" "CDH11" "CWC25"
"CHL1" "FCGR1A" "HLA-DOA" "ITK" "KLRD1" "LAT2" "GIMAP6" "COL18A1" "CILP" "CYGB"
"CKB" "FCGR3A" "IGSF6" "LAT" "KLRK1" "LILRB4" "HLA-DMB" "COL4A1" "CLEC11A" "DES"
"CNN3" "FCGR3B" "IL1R2" "LCK" "NCR1" "MRGPRX2" "HLA-DOA" "COL4A2" "COL12A1" "DLC1"
"CNP" "GNGT2" "ITGAX" "MS4A4A" "NKG7" "RAB27B" "HLA-DOB" "CRIP2" "COL14A1" "EPAS1"
"COL16A1" "HCK" "LGALS2" "NKG7" "PRF1" "SERPINB1" "IGJ" "CYYR1" "COL16A1" "FBXO33"
"COL18A1" "IRF5" "PKIB" "PTPRCAP" "SAMD3" "SLC6A4" "IGLL5" "DST" "COL5A1" "GNG11"
"COL1A1" "ITGAM" "PLD4" "RHOH" "SATB1" "TMEM64" "LTB" "ECSCR" "COL5A3" "GUCY1A1"
"COL1A2" "ITGB5" "RGS18" "SEPT1" "STAT4" "TPSAB1" "LY6D" "EGFL7" "COL6A2" "GUCY1A3"
"COL27A1" "LAIR1" "STX11" "SH2D2A" "STYK1" "TPSB2" "MS4A1" "EMCN" "COL6A3" "HSPB1"
"COL3A1" "LILRB3" "ZNF385A" "SKAP1" "TXK" "VWA5A" "MZB1" "EMP1" "COL8A1" "IRS2"
"COL4A2" "LILRB4"  "THY1" "XCL1"  "NAPSA" "ENG" "COLEC12" "LPP"
"COL5A2" "LRP1"   "XCL2"  "PIM2" "ESAM" "COPZ2" "MAFK"
"COL6A1" "LYZ"     "POU2F2" "FAM110D" "CPXM1" "MAP3K20"
"CPE" "MAFB"     "PTPRCAP" "FLT1" "CPXM2" "MAPRE2"
"CRYAB" "NCF2"     "REL" "GNG11" "CRTAP" "MFGE8"
"CXCL12" "P2RX4"     "SCD" "HSPG2" "CTHRC1" "MGST3"
"DDR2" "PID1"     "TXNDC11" "IGFBP4" "CTSK" "MPRIP"
"DKK2" "PLA2G7"      "IGFBP7" "DCN" "MUSTN1"
"DLGAP1" "PYHIN1"      "INSR" "DDAH2" "MYH11"
"DLK1" "RASSF4"      "KANK3" "DPYSL3" "MYL9"
"DOCK7" "SIRPA"      "KDR" "EBF1" "MYLK"
"DST" "SLC15A3"      "LRG1" "ECM1" "MYO1B"
"DUSP6" "SYK"      "MAST4" "EFEMP2" "NDUFA4L2"
"EMP1" "TF"      "MCAM" "FAM114A1" "NOLC1"
"EMP2" "TLR2"      "MMRN2" "FBLN1" "NOTCH3"
"ERBB3" "TMEM176A"      "NFIB" "FBN1" "NRARP"
"FABP5" "TREM2"      "PDLIM1" "FBN2" "NUDT4"
"FBLN2" "ZNF705A"      "PECAM1" "FIBIN" "PDE3A"
"FBN1"       "PLEKHG1" "FKBP10" "PDGFRB"
"FKBP9"       "PLVAP" "FKBP11" "PPP1R12B"
"FOXG1"       "PLXND1" "FKBP7" "PTP4A3"
"FRMD4A"       "PPIC" "FKBP9" "RASD1"
"GAS1"       "PRKCDBP" "FNDC1" "RASGRP2"
"GAS7"       "PTPRB" "FSCN1" "RASL11A"
"GATM"       "RAMP2" "FSTL1" "RBM4B"
"GJA1"       "RASIP1" "FZD1" "RBPMS"
"GJC3"       "S100A16" "FZD2" "RGS5"
"GPM6B"       "SERPINH1" "GAS6" "RRAD"
"GPX8"       "SMAD1" "GPX3" "S1PR3"
"HS2ST1"       "SNRK" "GPX8" "SLC25A25"
"HSPG2"       "SOX18" "GRB10" "SYNE2"
"HTRA1"       "SOX4" "GXYLT2" "THY1"
"ITGB8"       "SPARC" "IGF1" "TINAGL1"
"ITGBL1"       "SPARCL1" "IGFBP6" "TNS1"
"KCNA1"       "TIE1" "IGSF10" "TPM1"
"KCNA2"       "TIMP3" "IL33" "TPM2"
"KLF9"       "TM4SF1" "ISLR" "USP2"
"LAMA4"       "TSHZ2" "KDELR3" "ZFHX3"
"LGI4"       "VWF" "LHFP" 
"LHFP"        "LOX" 
"LOXL1"        "LOXL1" 
"LTBP1"        "LPAR1" 
"LTBP4"        "LUM" 
"MAL"        "MAGED2" 
"MAST4"        "MATN2" 
"MATN2"        "MDK" 
"MBP"        "MEG3" 
"MXRA7"        "MFAP2" 
"NAV2"        "MFAP4" 
"NEDD4"        "MFAP5" 
"NID1"        "MGP" 
"NR2F2"        "MGST1" 
"NREP"        "MMP2" 
"PCDH19"        "MMP23A" 
"PCOLCE"        "MRC2" 
"PDGFA"        "MXRA8" 
"PDGFRB"        "NPDC1" 
"PDLIM4"        "OAF" 
"PDZD2"        "P3H3" 
"PLP1"        "PALLD" 
"POSTN"        "PCOLCE" 
"POU3F1"        "PDGFRA" 
"PRNP"        "PDGFRL" 
"PRSS23"        "PDPN" 
"PTN"        "PLAT" 
"PTPRZ1"        "PLOD2" 
"PXDN"        "PLPP3" 
"RBFOX2"        "PRRX1" 
"RCN1"        "RAB34" 
"RYK"        "RBMS3" 
"SCD"        "RBP1" 
